Language,Worked,Wanted,Salary,Year,Category
Ansible,0.06719879193183044,0.07042270401131366,74,2021,ToolsTech
Chef,0.011769076810604153,0.013410994858519397,92,2021,ToolsTech
Deno,0.012308392957729598,0.05720346600510553,68,2021,ToolsTech
Docker,0.4271863277364302,0.45386449981423554,65,2021,ToolsTech
Flow,0.011133882237323074,0.011673198384448519,53,2021,ToolsTech
Git,0.8170160236819712,0.6988099090353432,58,2021,ToolsTech
Kubernetes,0.14519589160943924,0.26339002145279783,77,2021,ToolsTech
Pulumi,0.004410407603159194,0.010798307745778352,114,2021,ToolsTech
Puppet,0.015736046692793538,0.017114299068780786,78,2021,ToolsTech
Terraform,0.06522129939237048,0.0929541341578878,93,2021,ToolsTech
Unity3D,0.08636249235968792,0.09929409508742915,46,2021,ToolsTech
UnrealEngine,0.028032454847253682,0.06667146058797445,50,2021,ToolsTech
Xamarin,0.03408478049832812,0.03567875933316555,53,2021,ToolsTech
Yarn,0.1550473998969307,0.11908100528529825,59,2021,ToolsTech
